GrossSpread,MarketValue,OfferPrice,Shares_offered,Syndicated,Num_underwriters,Day1Perf
11711250,260,15,17350000,0,18,1
13050000,290,20,14500000,0,10,1
15070301,293,21,11500000,0,5,1
14940000,332,20,16600000,0,13,1
15525000,345,20,17250000,0,16,1
17415000,367,20,18350000,0,11,1
16605000,369,15,24600000,0,14,1
8400000,386,10,12000000,0,9,1
8935500,407,19,6000000,0,7,1
18463343,410,15,26800000,0,13,1
20295000,451,20,22550000,0,16,1
20700000,460,20,23000000,0,7,1
21150000,500,25,18800000,0,14,1
24044220,500,20,25000000,0,12,1
25633125,500,15,33350000,0,12,1
22545619,501,25,18500000,0,10,1
24840000,515,15,34300000,0,13,1
8750000,840,14,10000000,1,4,1
43785000,870,20,43500000,1,12,1
24642856,1476,20,20408163,1,7,1
88650000,1970,20,98500000,1,23,1
40000000,2539,16,50000000,1,10,1
271530000,5500,20,275000000,1,26,1
4226250,95,15,3500000,1,3,1
3465000,176,9,5500000,1,3,1
6037500,396,15,5000000,1,3,1
6425958,458,14,6250000,1,5,1
8437500,188,25,7500000,0,15,1
19125000,425,25,17000000,0,14,1
29925000,665,25,26600000,0,16,1
8325000,185,20,9250000,0,18,1
12352500,275,20,13350000,0,14,1
13950000,310,20,15500000,0,14,1
10562500,325,20,16250000,0,13,1
14850000,330,20,16500000,0,24,1
16065000,357,20,17850000,0,15,1
16200000,360,20,18000000,0,16,1
18000000,400,20,20000000,0,11,1
20880000,464,20,23200000,0,20,1
30600000,680,20,34000000,0,10,1
37125000,825,20,41250000,1,19,1
37863000,842,20,38000000,1,12,1
36450000,4051,20,40500000,1,14,1
5400000,120,15,8000000,0,10,1
17043750,379,15,25250000,0,16,1
38272500,803,15,53500000,1,22,1
10125000,225,25,9000000,0,15,1
9009000,3083,13,9375000,1,4,1
4125000,94,10,7500000,0,1,1
11925000,265,20,12550000,0,12,1
33300000,740,20,37000000,0,18,1
10462500,233,25,9300000,0,11,1
33750000,750,25,30000000,0,17,1
4185000,93,15,6200000,0,4,1
14442000,261,15,16000000,0,12,1
15178500,308,15,20500000,0,4,1
30305408,500,8,50000000,0,3,1
